"sub","beta","comp","prod","roi","mod","lobe"
1,1.8675,1,0,"pmtg","comp","temp"
2,5.7253,1,0,"pmtg","comp","temp"
3,5.2365,1,0,"pmtg","comp","temp"
4,7.3966,1,0,"pmtg","comp","temp"
5,0.1275,1,0,"pmtg","comp","temp"
6,5.2779,1,0,"pmtg","comp","temp"
7,3.6522,1,0,"pmtg","comp","temp"
8,0.691,1,0,"pmtg","comp","temp"
9,2.8681,1,0,"pmtg","comp","temp"
10,1.4231,1,0,"pmtg","comp","temp"
11,1.4582,1,0,"pmtg","comp","temp"
12,3.432,1,0,"pmtg","comp","temp"
13,4.9592,1,0,"pmtg","comp","temp"
14,1.9266,1,0,"pmtg","comp","temp"
15,1.4886,1,0,"pmtg","comp","temp"
16,5.274,1,0,"pmtg","comp","temp"
17,4.3907,1,0,"pmtg","comp","temp"
18,-0.4717,1,0,"pmtg","comp","temp"
19,4.5846,1,0,"pmtg","comp","temp"
20,4.2742,1,0,"pmtg","comp","temp"
21,3.1099,1,0,"pmtg","comp","temp"
22,5.3119,1,0,"pmtg","comp","temp"
23,3.2904,1,0,"pmtg","comp","temp"
24,2.4967,1,0,"pmtg","comp","temp"
1,0.6729,1,0,"oper","comp","front"
2,0.6099,1,0,"oper","comp","front"
3,1.677,1,0,"oper","comp","front"
4,3.3952,1,0,"oper","comp","front"
5,-0.9265,1,0,"oper","comp","front"
6,2.223,1,0,"oper","comp","front"
7,2.8977,1,0,"oper","comp","front"
8,-1.2255,1,0,"oper","comp","front"
9,1.5753,1,0,"oper","comp","front"
10,-1.6724,1,0,"oper","comp","front"
11,0.7476,1,0,"oper","comp","front"
12,-1.5642,1,0,"oper","comp","front"
13,2.7482,1,0,"oper","comp","front"
14,3.5931,1,0,"oper","comp","front"
15,-0.6861,1,0,"oper","comp","front"
16,3.0596,1,0,"oper","comp","front"
17,0.8884,1,0,"oper","comp","front"
18,-4.0504,1,0,"oper","comp","front"
19,0.7061,1,0,"oper","comp","front"
20,1.3624,1,0,"oper","comp","front"
21,1.6057,1,0,"oper","comp","front"
22,5.0528,1,0,"oper","comp","front"
23,1.5538,1,0,"oper","comp","front"
24,-2.6878,1,0,"oper","comp","front"
1,0.6469,1,0,"orb","comp","front"
2,0.6475,1,0,"orb","comp","front"
3,0.7033,1,0,"orb","comp","front"
4,2.1226,1,0,"orb","comp","front"
5,-2.1863,1,0,"orb","comp","front"
6,0.9024,1,0,"orb","comp","front"
7,2.458,1,0,"orb","comp","front"
8,-4.6188,1,0,"orb","comp","front"
9,-0.3704,1,0,"orb","comp","front"
10,-1.2862,1,0,"orb","comp","front"
11,-1.5136,1,0,"orb","comp","front"
12,-0.4069,1,0,"orb","comp","front"
13,0.7986,1,0,"orb","comp","front"
14,0.4567,1,0,"orb","comp","front"
15,-1.6747,1,0,"orb","comp","front"
16,3.4494,1,0,"orb","comp","front"
17,3.2975,1,0,"orb","comp","front"
18,-2.0437,1,0,"orb","comp","front"
19,0.1065,1,0,"orb","comp","front"
20,0.6694,1,0,"orb","comp","front"
21,-1.5662,1,0,"orb","comp","front"
22,2.2303,1,0,"orb","comp","front"
23,1.1436,1,0,"orb","comp","front"
24,-2.0877,1,0,"orb","comp","front"
1,0.6343,1,0,"tri","comp","front"
2,0.9025,1,0,"tri","comp","front"
3,3.0317,1,0,"tri","comp","front"
4,4.4135,1,0,"tri","comp","front"
5,-0.3838,1,0,"tri","comp","front"
6,2.381,1,0,"tri","comp","front"
7,2.6154,1,0,"tri","comp","front"
8,-1.6166,1,0,"tri","comp","front"
9,2.9617,1,0,"tri","comp","front"
10,-2.3429,1,0,"tri","comp","front"
11,0.5021,1,0,"tri","comp","front"
12,-0.9128,1,0,"tri","comp","front"
